Produto	Descrição	Família	Origem
A00008	ACUCAR COMUM CRISTAL	1002	10
A00009	ACUCAR MASCAVO	1002	10
A00010	ACUCAR REFINADO	1002	10
A00011	ACUCAR COMUM CRISTAL BRANCO	1002	10
A00879	ACUCAR DE CONFEITEIRO	1002	10
A00890	ACUCAR DEMERARA COCO QUEIMADO GRANULOS 2 MM	1002	10
A01089	ACUCAR EXTRA FINO	1002	10
B01055	GELEIA DE MORANGO	1027	10
B01140	POLPA DE FRAMBOESA	1027	10
B01224	POLPA DE FRUTAS VERMELHAS	1027	10
D01056	PACOCA DE AMENDOIM	1028	10
D01097	INATIVO - BISCOITO NATA CASEIRO A GRANEL	1029	10
D01098	INATIVO - BISCOITO PISTACHE CASEIRO A GRANEL	1029	10
D01099	INATIVO - BISCOITO LIMAO CASEIRO A GRANEL	1029	10
D01100	INATIVO - BISCOITO CHAMPAGNE A GRANEL	1029	10
D01101	INATIVO - BISCOITO BISCOITO MARIA A GRANEL	1029	10
D01102	INATIVO - BISCOITO CREAM CRACKER A GRANEL	1029	10
D01103	INATIVO - BISOCITO CREAM CRACKER INTEGRAL A GRANEL	1029	10
D01104	INATIVO - POLVILHO DOCE A GRANEL	1029	10
D01105	INATIVO - BISCOITO RECHEADO BLACK CHOCOALTE COM BAUNILHA A GRANEL	1029	10
D01106	INATIVO - WAFER CHOCOLATE A GRANEL	1029	10
D01107	INATIVO - WAFER CHOCOLATE COM COCO A GRANEL	1029	10
D01108	INATIVO - WAFER CHOCOALTE BRANCO A GRANEL	1029	10
D01109	INATIVO - DALLAS FARINHA DE TRIGO PREMIUM A GRANEL	1029	10
D01110	INATIVO - LEVIT FARINHA DE AVEIA A GRANEL	1029	10
F00001	FARINHA TRIGO ESPECIAL B GRANEL	1001	10
F00002	FARINHA TRIGO COMUM GRANEL	1001	10
F00003	FARINHA TRIGO COMUM SALGADO GRANEL	1001	10
F00004	FARINHA TRIGO ESPECIAL INTEIRA GRANEL	1001	10
F00005	FARINHA TRIGO ESPECIAL GRANEL O	1001	10
F00006	FARINHA TRIGO COMUM SERINGADO	1001	10
F00007	INATIVO FARINHA TRIGO MAC INSTANTANEO M DIAS	1001	10
